# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1353
#@/user_id	b984ef3a-97ec-45f9-89c8-d237fbe7ae79
a 	啊	c=8 d=0.908954 t=1353
ai 	愛	c=1 d=0.0160829 t=1353
an 	按	c=1 d=0.998666 t=1353
an dao li 	按道理	c=2 d=0.682173 t=1353
an jian 	按鍵	c=0 d=0.0509156 t=1353
an jian bang ding 	按鍵綁定	c=1 d=0.511709 t=1353
an ma 	暗罵	c=1 d=0.451581 t=1353
ao 	奧	c=1 d=0.142274 t=1353
ba 	吧	c=6 d=1.08263 t=1353
ba 	把	c=3 d=0.521526 t=1353
bai 	白	c=1 d=0.0728029 t=1353
bai ka 	白卡	c=3 d=0.221815 t=1353
ban 	板	c=1 d=0.691262 t=1353
ban 	辦	c=0 d=0.0621885 t=1353
ban ben 	版本	c=1 d=0.0417941 t=1353
bang 	棒	c=1 d=0.1764 t=1353
bang ding 	綁定	c=0 d=0.0509156 t=1353
bao 	包	c=4 d=1.12653 t=1353
bao cun 	保存	c=1 d=0.017953 t=1353
bao cuo 	報錯	c=3 d=1.41801 t=1353
bao han 	包含	c=1 d=0.228779 t=1353
bei 	被	c=1 d=0.65377 t=1353
bei dan ci 	背單詞	c=1 d=0.213312 t=1353
bei zhu 	備註	c=1 d=0.109701 t=1353
bi 	比	c=2 d=0.174645 t=1353
bian cheng 	編程	c=2 d=0.0681292 t=1353
bian cheng 	變成	c=5 d=0.72513 t=1353
bian ju 	邊距	c=3 d=1.47502 t=1353
bian kuang 	邊框	c=1 d=0.536903 t=1353
bian ma 	編碼	c=1 d=0.43171 t=1353
bian yi 	編譯	c=3 d=1.4333 t=1353
biao 	表	c=1 d=0.292293 t=1353
biao dian 	標點	c=2 d=1.70764 t=1353
biao qing 	表情	c=2 d=0.639496 t=1353
biao shi 	表示	c=2 d=0.0347587 t=1353
biao zhi 	標誌	c=2 d=0.653769 t=1353
biao zhun 	標準	c=2 d=0.562161 t=1353
biao zhun ban 	標準板	c=10 d=5.02138 t=1353
bie 	別	c=1 d=0.329559 t=1353
bing 	冰	c=0 d=0.066365 t=1353
bing hong cha 	冰紅茶	c=2 d=1.37167 t=1353
bo bao 	播報	c=1 d=0.075774 t=1353
bu 	不	c=1 d=0.707489 t=1353
bu dao 	不到	c=1 d=0.132655 t=1353
bu dui 	不對	c=1 d=0.130523 t=1353
bu dui jin 	不對勁	c=1 d=0.22313 t=1353
bu dui jing 	不對經	c=1 d=0.222017 t=1353
bu guo 	不過	c=2 d=1.01323 t=1353
bu hao 	不好	c=1 d=0.0590129 t=1353
bu hao de 	不好的	c=1 d=0.0335406 t=1353
bu hui 	不會	c=2 d=0.273636 t=1353
bu ji ji 	不積極	c=1 d=0.169483 t=1353
bu ke yi 	不可以	c=1 d=0.0175975 t=1353
bu ru 	不如	c=1 d=0.0219278 t=1353
bu shi 	不是	c=7 d=2.18198 t=1353
bu xing 	不行	c=1 d=0.165299 t=1353
bu yao 	不要	c=1 d=0.0520787 t=1353
bu yi yang 	不一樣	c=1 d=0.362402 t=1353
bu yong 	不用	c=1 d=0.463013 t=1353
bu zai 	不再	c=1 d=0.0182243 t=1353
bu zhi dao 	不知道	c=1 d=0.0569831 t=1353
bu zhou 	步驟	c=2 d=1.06824 t=1353
can shu 	參數	c=1 d=0.408607 t=1353
cao 	操	c=1 d=0.499074 t=1353
cao 	艹	c=1 d=0.501576 t=1353
ce shi 	測試	c=3 d=0.715858 t=1353
ceng 	層	c=1 d=0.26982 t=1353
cha kan 	查看	c=1 d=0.0437178 t=1353
cha qu 	插曲	c=1 d=0.759572 t=1353
chang 	長	c=1 d=0.416862 t=1353
chao 	抄	c=2 d=0.470011 t=1353
chao sheng bo 	超聲波	c=1 d=0.585669 t=1353
chao shi 	超時	c=2 d=0.922998 t=1353
che 	車	c=1 d=0.242926 t=1353
chen mi 	沉迷	c=1 d=0.0322254 t=1353
cheng gong 	成功	c=3 d=0.716926 t=1353
cheng xu 	程序	c=2 d=0.433646 t=1353
chi de 	吃得	c=1 d=0.600496 t=1353
chi de 	吃的	c=1 d=0.603506 t=1353
chi fan 	吃飯	c=2 d=0.172103 t=1353
chong xin 	重新	c=2 d=0.631283 t=1353
chu kong ban 	觸控板	c=2 d=0.0797128 t=1353
chu li 	處理	c=1 d=0.344728 t=1353
chuang jian 	創建	c=1 d=0.201896 t=1353
ci 	詞	c=4 d=3.14022 t=1353
ci dian 	詞典	c=6 d=5.50326 t=1353
ci ku 	詞庫	c=2 d=1.79818 t=1353
ci shu 	次數	c=4 d=1.06699 t=1353
ci ya 	呲牙	c=1 d=0.522046 t=1353
ci zu 	詞組	c=2 d=1.80063 t=1353
cong 	從	c=1 d=0.241714 t=1353
cong che 	從車	c=6 d=1.88784 t=1353
da dao 	達到	c=2 d=0.635446 t=1353
da kai 	打開	c=2 d=0.728904 t=1353
da lao 	大佬	c=2 d=0.371577 t=1353
da liang 	大量	c=2 d=0.944284 t=1353
da yu 	大於	c=1 d=0.0739031 t=1353
dai 	帶	c=1 d=0.0288686 t=1353
dai ma 	代碼	c=1 d=0.0837432 t=1353
dan shi 	但是	c=1 d=0.0213864 t=1353
dang 	當	c=2 d=0.557106 t=1353
dao 	到	c=5 d=0.734235 t=1353
dao 	道	c=1 d=0.07502 t=1353
dao lao 	到老	c=1 d=0.107528 t=1353
dao le 	到了	c=2 d=0.564468 t=1353
dao li 	道理	c=0 d=0.0282239 t=1353
dao zhe li 	到這裏	c=1 d=0.0177743 t=1353
de 	的	c=63 d=12.198 t=1353
dei 	得	c=1 d=0.0685632 t=1353
deng dai 	等待	c=1 d=0.286505 t=1353
deng deng 	等等	c=1 d=0.618783 t=1353
deng lu 	登錄	c=1 d=0.687289 t=1353
di fang 	地方	c=1 d=0.442639 t=1353
di yi ci 	第一次	c=1 d=0.384812 t=1353
di zhi 	地址	c=2 d=1.56937 t=1353
dian mian 	店面	c=1 d=0.199888 t=1353
dian nao 	電腦	c=4 d=1.3722 t=1353
diao yong 	調用	c=5 d=0.800577 t=1353
ding 	丁	c=1 d=0.609571 t=1353
ding shi 	定時	c=2 d=0.397906 t=1353
ding yi 	定義	c=1 d=0.379083 t=1353
diu shi 	丟失	c=1 d=0.236928 t=1353
dong 	凍	c=1 d=0.0675424 t=1353
dong xi 	東西	c=5 d=0.425553 t=1353
dou 	都	c=4 d=0.528977 t=1353
dou shi 	都是	c=5 d=0.606249 t=1353
du 	讀	c=1 d=0.0605068 t=1353
du qu 	讀取	c=1 d=0.131994 t=1353
dui 	對	c=1 d=0.116484 t=1353
dui ying 	對應	c=1 d=0.0280154 t=1353
fa 	法	c=2 d=0.323033 t=1353
fa 	發	c=4 d=0.640535 t=1353
fa ge 	發個	c=1 d=0.271173 t=1353
fa gei 	發給	c=2 d=0.758911 t=1353
fa huo 	發貨	c=1 d=0.449329 t=1353
fa song 	發送	c=14 d=3.60668 t=1353
fa song shu ju 	發送數據	c=1 d=0.548812 t=1353
fa zhe zhong 	發這種	c=1 d=0.0523397 t=1353
fan hui 	返回	c=1 d=0.181772 t=1353
fan qiang 	翻牆	c=1 d=0.516851 t=1353
fan suo 	繁瑣	c=1 d=0.0218184 t=1353
fang 	放	c=1 d=0.144424 t=1353
fang zai 	放在	c=1 d=0.522046 t=1353
feng 	封	c=1 d=0.657047 t=1353
feng 	峯	c=0 d=0.0110803 t=1353
feng huo tai 	烽火臺	c=1 d=0.690734 t=1353
feng ming qi 	蜂鳴器	c=1 d=0.631283 t=1353
fu ben 	副本	c=1 d=0.0420036 t=1353
fu hao 	符號	c=0 d=0.0970446 t=1353
fu hao jian 	符號鍵	c=1 d=0.97531 t=1353
fu wu 	服務	c=2 d=0.20089 t=1353
fu zhi 	複製	c=1 d=0.186374 t=1353
gai 	改	c=5 d=0.404542 t=1353
gai 	該	c=2 d=0.25959 t=1353
gai cheng 	改成	c=2 d=0.861065 t=1353
gai cheng nei qian 	改成內嵌	c=1 d=0.453845 t=1353
gai guo lai 	改過來	c=1 d=0.486752 t=1353
gan 	淦	c=5 d=1.06482 t=1353
gan jue 	感覺	c=0 d=0.050409 t=1353
gan jue dou ta ma de 	感覺都他媽的	c=1 d=0.506617 t=1353
gan ma 	幹嘛	c=1 d=0.222295 t=1353
gan zhou 	贛州	c=1 d=0.70822 t=1353
gao 	高	c=0 d=0.00478349 t=1353
gao ding 	搞定	c=1 d=0.173774 t=1353
